Date,RELIANCE Open,RELIANCE High,RELIANCE Low,RELIANCE Close,RELIANCE Adj Close,RELIANCE Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Close,DMART Volume,,,,,,,,,,DROPDOWN,,Date,DMART High,RELIANCE High
12/6/2022,2665.100098,2697,2661,2690.199951,2690.199951,3966243,4018,4094,3995,4063.399902,4063.399902,224614,,,,,,,,,,,,12/6/2022,4094,2697
12/7/2022,2685,2695,2642.149902,2650.5,2650.5,3905263,4080,4100,4045.149902,4083.149902,4083.149902,257217,,,,,,,,,,,,12/7/2022,4100,2695
12/8/2022,2660,2665,2640.100098,2649.25,2649.25,3579858,4090,4090,4015.399902,4037.199951,4037.199951,177556,,,,,,,,,,,,12/8/2022,4090,2665
12/9/2022,2646,2660,2601.850098,2609.100098,2609.100098,5840633,4054.899902,4057.75,3983.399902,4002.399902,4002.399902,265654,,,,,,,,,,,,12/9/2022,4057.75,2660
12/12/2022,2585.5,2623,2585,2613.100098,2613.100098,4374946,3980,4074,3948,4057.350098,4057.350098,242444,,,,,,,,,,,,12/12/2022,4074,2623
12/13/2022,2613.100098,2633,2606.699951,2625,2625,3845839,4060,4120,4060,4108.950195,4108.950195,275766,,,,,,,,,,,,12/13/2022,4120,2633
12/14/2022,2637.649902,2638.949951,2611,2615.5,2615.5,3354618,4089.100098,4209.850098,4089.100098,4201.100098,4201.100098,545140,,,,,,,,,,,,12/14/2022,4209.850098,2638.949951
12/15/2022,2602.5,2615,2571,2578.350098,2578.350098,4009765,4209,4228.950195,4151,4182,4182,312108,,,,,,,,,,,,12/15/2022,4228.950195,2615
12/16/2022,2571,2618.800049,2558.149902,2565.600098,2565.600098,7308934,4140.649902,4150.5,3956,3990,3990,380722,,,,,,,,,,,,12/16/2022,4150.5,2618.800049
12/19/2022,2581,2604,2566.699951,2599.300049,2599.300049,3567363,4020,4099.899902,4000,4090.199951,4090.199951,300724,,,,,,,,,,,,12/19/2022,4099.899902,2604
12/20/2022,2583.899902,2626,2566,2621.800049,2621.800049,3446291,4088,4138.600098,4052.149902,4089.550049,4089.550049,217791,,,,,,,,,,,,12/20/2022,4138.600098,2626
12/21/2022,2621,2633,2576.100098,2584.5,2584.5,3935463,4094,4109.950195,3975.149902,3993.199951,3993.199951,252192,,,,,,,,,,,,12/21/2022,4109.950195,2633
12/22/2022,2598,2604.649902,2566.75,2577.800049,2577.800049,3438692,4008,4029,3905.5,3921.550049,3921.550049,283003,,,,,,,,,,,,12/22/2022,4029,2604.649902
12/23/2022,2563.300049,2590.5,2492.25,2502.199951,2502.199951,4733657,3896.550049,3911.75,3835,3875.600098,3875.600098,255257,,,,,,,,,,,,12/23/2022,3911.75,2590.5
12/26/2022,2514.75,2542,2492.399902,2524.050049,2524.050049,2764496,3896,4049,3871,4036.600098,4036.600098,205540,,,,,,,,,,,,12/26/2022,4049,2542
12/27/2022,2530,2548.800049,2515.25,2544.699951,2544.699951,2659749,4060,4094,4005,4074.600098,4074.600098,168072,,,,,,,,,,,,12/27/2022,4094,2548.800049
12/28/2022,2538,2549.800049,2521.5,2544.449951,2544.449951,3442509,4077.949951,4077.949951,4007.399902,4017.75,4017.75,130503,,,,,,,,,,,,12/28/2022,4077.949951,2549.800049
12/29/2022,2527,2548.899902,2525.5,2543.300049,2543.300049,3198493,4003.149902,4207.950195,3971.800049,4178.299805,4178.299805,475188,,,,,,,,,,,,12/29/2022,4207.950195,2548.899902
12/30/2022,2545.100098,2577,2541.100098,2547.199951,2547.199951,3364092,4178,4195,4025.149902,4068.75,4068.75,387431,,,,,,,,,,,,12/30/2022,4195,2577
1/2/2023,2550,2579,2548.199951,2575.899902,2575.899902,2453414,4075,4117.950195,4055,4072.75,4072.75,119118,,,,,,,,,,,,1/2/2023,4117.950195,2579
1/3/2023,2565.050049,2573,2547.800049,2557.050049,2557.050049,3534596,4072.75,4099,4044,4060.899902,4060.899902,114013,,,,,,,,,,,,1/3/2023,4099,2573
1/4/2023,2557,2561.050049,2514,2518.550049,2518.550049,4275746,4049.949951,4049.949951,3916,3924.199951,3924.199951,740436,,,,,,,,,,,,1/4/2023,4049.949951,2561.050049
1/5/2023,2523.5,2536.399902,2504,2514.050049,2514.050049,6293519,3955,3964,3845.5,3857.800049,3857.800049,483903,,,,,,,,,,,,1/5/2023,3964,2536.399902
1/6/2023,2526.649902,2547.949951,2518.300049,2536.899902,2536.899902,2930338,3870,3930,3835,3842.5,3842.5,345746,,,,,,,,,,,,1/6/2023,3930,2547.949951
1/9/2023,2545.300049,2602,2543.350098,2596.800049,2596.800049,4948549,3905.800049,3915,3855.550049,3879.550049,3879.550049,280205,,,,,,,,,,,,1/9/2023,3915,2602
1/10/2023,2606,2606,2546,2558.399902,2558.399902,3713755,3898,3919.449951,3861,3877.399902,3877.399902,357855,,,,,,,,,,,,1/10/2023,3919.449951,2606
1/11/2023,2552.5,2558,2521.100098,2526.149902,2526.149902,5311657,3896,3910,3860,3872.899902,3872.899902,156403,,,,,,,,,,,,1/11/2023,3910,2558
